"mmsi","signalpower","ppm","received_at","station_id","msg_id","imo","callsign","shipname","shiptype","to_port","to_bow","to_stern","to_starboard","eta","draught","destination","status","turn","speed","lat","lon","course","heading","aid_type","alt","count","msg_types","channels"
"503004360","0","0","2024-10-04 04:03:51","0",1,NULL,NULL,"SVITZER WARATAH     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.864513333333335","151.18308333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"518378000","0","0","2024-10-04 04:03:52","0",1,NULL,NULL,"SOREN LARSEN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.864623333333334","151.1811833333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"229955000","0","0","2024-10-04 04:03:54","0",3,NULL,NULL,"CMA CGM SEATTLE     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.969168333333336","151.21047666666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"311000890","0","0","2024-10-04 04:03:56","0",3,NULL,NULL,"ELANORA             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.8647","151.18296666666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503345100","0","0","2024-10-04 04:03:57","0",1,NULL,NULL,"BORROWDALE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.84935333333333","151.22060666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503605000","0","0","2024-10-04 04:03:57","0",1,NULL,NULL,"QUEENSCLIFF         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.84893","151.2572933333333",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503156890","0","0","2024-10-04 04:03:59","0",1,NULL,NULL,"GIRAWAA             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.852583333333335","151.24250666666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"538010363","0","0","2024-10-04 04:04:00","0",1,NULL,NULL,"SABRINA GLORY       ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-34.000515","151.20993333333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"477811100","0","0","2024-10-04 04:04:01","0",3,NULL,NULL,"OOCL ITALY          ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.963483333333336","151.19985",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503000196","0","0","2024-10-04 04:04:04","0",1,NULL,NULL,"THE JACKSON         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.8662","151.20080000000002",NULL,NULL,NULL,NULL,NULL,NULL,NULL
